MeasurementId,Technology,Latitude,Longitude,RSRQ,RSRP,RSSI,Network_Operator
9999,lte-m,60.782044,20.518723,15,3,-103,TDC
225,lte-m,55.782044,12.518723,15,3,-103,Telia
1085,lte-m,55.781958,12.518572,14,54,28,Telia
1086,lte-m,55.781988,12.518683,12,58,31,Telia
1087,lte-m,55.782001,12.518801,12,49,26,Telia
1088,lte-m,55.782046,12.518826,12,50,26,Telia
1089,lte-m,55.782047,12.518656,12,51,27,Telia
1090,lte-m,55.781971,12.518596,10,51,27,Telia
1091,lte-m,55.782032,12.518643,12,53,28,Telia
1092,lte-m,55.782051,12.518745,10,50,27,Telia
1093,lte-m,55.782094,12.518673,12,53,28,Telia
1094,lte-m,55.782157,12.518764,12,56,29,Telia
1095,lte-m,55.782162,12.518777,10,52,28,Telia
1096,lte-m,55.782100,12.518804,10,51,27,Telia
1097,lte-m,55.782103,12.518894,10,55,29,Telia
1098,lte-m,55.782133,12.518883,10,53,28,Telia
1099,lte-m,55.782171,12.518793,12,54,29,Telia
1100,lte-m,55.782054,12.518816,14,47,25,Telia
1101,lte-m,55.782153,12.519025,14,51,27,Telia
1102,lte-m,55.782403,12.519244,12,47,25,Telia
1103,lte-m,55.782404,12.519960,10,47,25,Telia
1104,lte-m,55.782310,12.520959,12,43,23,Telia
1105,lte-m,55.782199,12.521701,16,61,31,Telia
1106,lte-m,55.782111,12.522478,14,61,31,Telia
1107,lte-m,55.782263,12.523063,10,55,29,Telia
1108,lte-m,55.782588,12.523119,12,58,30,Telia
1109,lte-m,55.783011,12.523342,12,60,31,Telia
1110,lte-m,55.783450,12.523612,14,60,31,Telia
1111,lte-m,55.783859,12.523966,16,51,26,Telia
1116,lte-m,55.784131,12.524112,12,51,27,Telia
1117,lte-m,55.784422,12.524169,10,55,30,Telia
1118,lte-m,55.784882,12.524447,22,50,24,Telia
1119,lte-m,55.785177,12.525154,18,53,26,Telia
1120,lte-m,55.785368,12.525588,22,58,28,Telia
1121,lte-m,55.785752,12.525859,26,51,24,Telia
1122,lte-m,55.786266,12.526276,12,45,24,Telia
1123,lte-m,55.786689,12.526454,14,51,26,Telia
1124,lte-m,55.787070,12.526734,26,53,25,Telia
1125,lte-m,55.787521,12.526998,24,44,21,Telia
1126,lte-m,55.787599,12.527790,20,37,18,Telia
1127,lte-m,55.787579,12.528629,14,44,23,Telia
1128,lte-m,55.787709,12.529353,22,50,24,Telia
1129,lte-m,55.787747,12.530142,14,41,22,Telia
1130,lte-m,55.787747,12.531159,14,38,20,Telia
1131,lte-m,55.787851,12.531984,18,37,18,Telia
1132,lte-m,55.788131,12.532264,12,46,25,Telia
1133,lte-m,55.788166,12.532305,18,30,15,Telia
1134,lte-m,55.788207,12.532476,18,29,14,Telia
