MeasurementId,Technology,Latitude,Longitude,Margin,NOfGateways,RSSI,SNR
151,lora,55.782044,12.518723,15,3,-103.00,-4.00
155,lora,55.781999,12.518601,14,3,-103.00,-4.00
978,lora,55.781970,12.518588,13,1,-101.00,4.00
979,lora,55.782001,12.518782,15,5,-101.00,3.00
980,lora,55.782047,12.518847,7,2,-107.00,1.00
981,lora,55.782049,12.518721,15,5,-107.00,3.00
982,lora,55.782003,12.518633,15,4,-103.00,4.00
983,lora,55.782072,12.518658,15,4,-108.00,3.00
984,lora,55.782143,12.518739,13,4,-105.00,3.00
985,lora,55.782139,12.518779,9,4,-103.00,4.00
986,lora,55.782125,12.518784,13,3,-107.00,3.00
987,lora,55.782105,12.518817,13,4,-107.00,1.00
988,lora,55.782107,12.518801,15,2,-108.00,1.00
989,lora,55.782315,12.520649,9,2,-108.00,2.00
990,lora,55.782139,12.522184,14,2,-107.00,2.00
992,lora,55.784312,12.524179,5,3,-112.00,-2.00
993,lora,55.784691,12.524352,13,3,-108.00,0.00
994,lora,55.785596,12.525744,4,3,-113.00,-2.00
995,lora,55.786076,12.526238,13,2,-102.00,4.00
996,lora,55.786500,12.526375,8,3,-98.00,6.00
997,lora,55.786938,12.526570,2,3,-100.00,5.00
998,lora,55.787348,12.526905,12,2,-96.00,6.00
999,lora,55.787550,12.527370,15,1,-104.00,5.00
1000,lora,55.787583,12.528262,10,2,-97.00,3.00
1001,lora,55.787650,12.529053,10,2,-108.00,1.00
1002,lora,55.787760,12.529770,0,1,-116.00,-5.00
1003,lora,55.787789,12.530563,0,1,-116.00,-5.00
1004,lora,55.787999,12.532154,4,2,-120.00,-7.00
1005,lora,55.788155,12.532423,5,1,-118.00,-6.00
1006,lora,55.788388,12.532884,0,2,-114.00,-4.00
1018,lora,55.786739,12.525108,15,3,-93.00,7.00
1019,lora,55.786864,12.524246,4,3,-102.00,3.00
1020,lora,55.786921,12.523347,13,3,-99.00,6.00
1021,lora,55.787023,12.522744,15,4,-99.00,5.00
1022,lora,55.786531,12.522521,15,3,-90.00,6.00
1023,lora,55.786091,12.522262,4,3,-120.00,-7.00
1024,lora,55.785694,12.521115,9,3,-107.00,1.00
1025,lora,55.784499,12.520247,15,2,-107.00,3.00
1026,lora,55.783917,12.520001,15,2,-108.00,0.00
1028,lora,55.782145,12.519287,9,4,-105.00,-1.00
1053,lora,55.782204,12.518932,13,3,-100.00,5.00
1054,lora,55.782050,12.518700,15,4,-107.00,3.00
1055,lora,55.782026,12.518690,15,3,-100.00,5.00
1056,lora,55.782251,12.518771,10,2,-100.00,5.00
1057,lora,55.782265,12.518805,15,4,-102.00,6.00
1058,lora,55.782294,12.518709,15,2,-98.00,7.00
1059,lora,55.782255,12.518739,13,7,-99.00,6.00
1060,lora,55.782089,12.518717,15,3,-102.00,5.00
1061,lora,55.782108,12.518753,15,3,-101.00,5.00
1062,lora,55.782168,12.518728,15,2,-102.00,4.00
1063,lora,55.782196,12.518737,15,9,-102.00,5.00
1064,lora,55.782182,12.518784,15,7,-100.00,5.00
1065,lora,55.782147,12.518825,15,3,-99.00,1.00
1066,lora,55.782016,12.518718,15,6,-105.00,3.00
1067,lora,55.782067,12.518705,14,7,-96.00,6.00
1068,lora,55.782048,12.518687,15,7,-102.00,5.00
1069,lora,55.782126,12.518755,15,4,-102.00,5.00
1070,lora,55.782128,12.518746,15,5,-101.00,4.00
1071,lora,55.782079,12.518749,13,3,-100.00,6.00
1072,lora,55.782049,12.518731,15,4,-98.00,5.00
1073,lora,55.782012,12.518711,15,3,-101.00,5.00
1074,lora,55.782062,12.518699,15,4,-102.00,5.00
1075,lora,55.782091,12.518725,15,3,-100.00,5.00
1079,lora,55.779210,12.519564,4,2,-109.00,1.00
1080,lora,55.780491,12.522316,13,2,-102.00,5.00
1081,lora,55.781489,12.522755,7,3,-109.00,3.00
1082,lora,55.781848,12.522970,15,3,-109.00,0.00
1083,lora,55.782713,12.523404,8,2,-105.00,3.00
1084,lora,55.783642,12.523805,15,3,-110.00,1.00
1089,lora,55.783561,12.524102,15,3,-105.00,0.00
1090,lora,55.783871,12.524170,1,1,-107.00,4.00
1091,lora,55.783550,12.524199,9,3,-113.00,-3.00
1092,lora,55.783805,12.524367,12,3,-101.00,5.00
