MeasurementId,Technology,Latitude,Longitude,SessionID,SequenceNumber
1,sigfox,55.782178,12.518819,27,0000
2,sigfox,55.782139,12.518646,27,0001
3,sigfox,55.782243,12.518973,DF,0000
4,sigfox,55.782035,12.518568,DF,0001
5,sigfox,55.782073,12.518741,DF,0000
6,sigfox,55.782085,12.518671,DF,0001
7,sigfox,55.782118,12.518720,DF,0000
8,sigfox,55.782074,12.518681,DF,0001
9,sigfox,55.782010,12.518598,DF,0002
10,sigfox,55.782227,12.519090,DF,0003
11,sigfox,55.782144,12.518582,DF,0004
13,sigfox,55.781922,12.518610,DF,0006
14,sigfox,55.782358,12.519352,DF,0007
15,sigfox,55.782246,12.521170,DF,0008
16,sigfox,55.782145,12.522578,DF,0009
17,sigfox,55.782977,12.523191,DF,0010
18,sigfox,55.783575,12.523850,DF,0011
19,sigfox,55.784330,12.524076,DF,0012
20,sigfox,55.785504,12.524380,DF,0013
21,sigfox,55.785587,12.523051,DF,0014
22,sigfox,55.786065,12.521859,DF,0015
23,sigfox,55.786673,12.522376,DF,0016
24,sigfox,55.787051,12.523560,DF,0017
25,sigfox,55.786910,12.525284,DF,0018
26,sigfox,55.787474,12.526370,DF,0019
27,sigfox,55.787556,12.528051,DF,0020
28,sigfox,55.787723,12.529457,DF,0021
29,sigfox,55.787656,12.531309,DF,0022
30,sigfox,55.787970,12.532394,41,0000
31,sigfox,55.787896,12.532666,41,0001
32,sigfox,55.787572,12.535576,41,0000
33,sigfox,55.787366,12.534735,41,0000
34,sigfox,55.787799,12.536409,41,0001
35,sigfox,55.787685,12.538182,41,0002
37,sigfox,55.787631,12.545129,41,0004
38,sigfox,55.787216,12.544399,41,0000
39,sigfox,55.787243,12.545709,41,0001
40,sigfox,55.787565,12.548015,41,0002
41,sigfox,55.787771,12.550038,41,0003
42,sigfox,55.787648,12.551832,41,0004
43,sigfox,55.787516,12.552961,41,0005
44,sigfox,55.787514,12.552112,41,0006
45,sigfox,55.787677,12.549423,41,0007
46,sigfox,55.788113,12.532734,DF,0000
47,sigfox,55.788067,12.532699,DF,0001
48,sigfox,55.788128,12.532782,DF,0002
49,sigfox,55.788106,12.532789,DF,0003
50,sigfox,55.788267,12.532733,DF,0004
51,sigfox,55.788207,12.532730,DF,0005
52,sigfox,55.788151,12.532654,DF,0000
53,sigfox,55.788169,12.532660,DF,0001
54,sigfox,55.788206,12.532628,DF,0002
55,sigfox,55.788239,12.532592,DF,0003
56,sigfox,55.788116,12.532880,DF,0004
57,sigfox,55.788167,12.532716,DF,0005
