"Radius (Computed location)";"Longitude (Computed location)";"Latitude (Computed location)";"Source (Computed location)";"Country";"Data";"Link Quality Indicator";"Link Quality Indicator repeaters";"Operator";"RSSI1 (Receiver info)";"NapmId1 (Receiver info)";"Station ID1 (Receiver info)";"GetRssiRepeaters2Display1 (Receiver info)";"Delay1 (Receiver info)";"RSSI2 (Receiver info)";"NapmId2 (Receiver info)";"Station ID2 (Receiver info)";"GetRssiRepeaters2Display2 (Receiver info)";"Delay2 (Receiver info)";"RSSI3 (Receiver info)";"NapmId3 (Receiver info)";"Station ID3 (Receiver info)";"GetRssiRepeaters2Display3 (Receiver info)";"Delay3 (Receiver info)";"RSSI4 (Receiver info)";"NapmId4 (Receiver info)";"Station ID4 (Receiver info)";"GetRssiRepeaters2Display4 (Receiver info)";"Delay4 (Receiver info)";"Sequence number";"Timestamp"
;;;;"";"df0004";"Average";"N/A";"SIGFOX_Denmark_IOTDK";"-129.00";"0000";"23EA";"N/A";"1.111";"-128.00";"0000";"29D1";"N/A";"0.479";;;;;;;;;;;"111";"2021-07-01 15:52:37"
;;;;"";"df0003";"Average";"N/A";"SIGFOX_Denmark_IOTDK";"-129.00";"0000";"23EA";"N/A";"1.1";"-127.00";"0000";"29D1";"N/A";"2.107";;;;;;;;;;;"110";"2021-07-01 15:50:58"
;;;;"";"df0002";"Average";"N/A";"SIGFOX_Denmark_IOTDK";"-129.00";"0000";"23EA";"N/A";"1.492";"-129.00";"0000";"29D1";"N/A";"1.914";;;;;;;;;;;"109";"2021-07-01 15:49:02"
;;;;"";"df0001";"Average";"N/A";"SIGFOX_Denmark_IOTDK";"-129.00";"0000";"23EA";"N/A";"1.114";"-131.00";"0000";"29D1";"N/A";"1.596";;;;;;;;;;;"108";"2021-07-01 15:47:15"
;;;;"";"df0000";"Average";"N/A";"SIGFOX_Denmark_IOTDK";"-132.00";"0000";"23EA";"N/A";"1.386";"-129.00";"0000";"29D1";"N/A";"1.5";;;;;;;;;;;"107";"2021-07-01 15:45:24"
;;;;"";"df0005";"Average";"N/A";"SIGFOX_Denmark_IOTDK";"-134.00";"0000";"23EA";"N/A";"1.276";"-126.00";"0000";"29D1";"N/A";"1.286";;;;;;;;;;;"106";"2021-07-01 15:39:19"
;;;;"";"df0004";"Good";"N/A";"SIGFOX_Denmark_IOTDK";"-134.00";"0000";"23EA";"N/A";"1.481";"-125.00";"0000";"29D1";"N/A";"0.98";"-130.00";"0000";"2A87";"N/A";"0.542";;;;;;"105";"2021-07-01 15:37:47"
;;;;"";"df0003";"Good";"N/A";"SIGFOX_Denmark_IOTDK";"-132.00";"0000";"23EA";"N/A";"2.494";"-126.00";"0000";"29D1";"N/A";"0.683";"-125.00";"0000";"2A87";"N/A";"0.661";;;;;;"104";"2021-07-01 15:36:10"
;;;;"";"df0002";"Average";"N/A";"SIGFOX_Denmark_IOTDK";"-126.00";"0000";"29D1";"N/A";"1.004";"-134.00";"0000";"23EA";"N/A";"2.081";;;;;;;;;;;"103";"2021-07-01 15:34:39"
;;;;"";"df0001";"Average";"N/A";"SIGFOX_Denmark_IOTDK";"-133.00";"0000";"23EA";"N/A";"2.834";"-128.00";"0000";"29D1";"N/A";"0.897";;;;;;;;;;;"102";"2021-07-01 15:33:13"
;;;;"";"df0000";"Average";"N/A";"SIGFOX_Denmark_IOTDK";"-133.00";"0000";"23EA";"N/A";"1.914";"-127.00";"0000";"29D1";"N/A";"1.237";;;;;;;;;;;"101";"2021-07-01 15:31:22"
;;;;"";"df0005";"Average";"N/A";"SIGFOX_Denmark_IOTDK";"-130.00";"0000";"23EA";"N/A";"1.191";"-125.00";"0000";"29D1";"N/A";"1.057";;;;;;;;;;;"100";"2021-07-01 15:28:29"
;;;;"";"df0004";"Average";"N/A";"SIGFOX_Denmark_IOTDK";"-134.00";"0000";"23EA";"N/A";"1.511";"-124.00";"0000";"29D1";"N/A";"1.454";;;;;;;;;;;"99";"2021-07-01 15:26:57"
;;;;"";"df0003";"Average";"N/A";"SIGFOX_Denmark_IOTDK";"-130.00";"0000";"23EA";"N/A";"1.911";"-124.00";"0000";"29D1";"N/A";"1.598";;;;;;;;;;;"98";"2021-07-01 15:25:25"
;;;;"";"df0002";"Average";"N/A";"SIGFOX_Denmark_IOTDK";"-134.00";"0000";"23EA";"N/A";"1.827";"-127.00";"0000";"29D1";"N/A";"1.298";;;;;;;;;;;"97";"2021-07-01 15:23:55"
;;;;"";"df0001";"Average";"N/A";"SIGFOX_Denmark_IOTDK";"-131.00";"0000";"23EA";"N/A";"1.421";"-126.00";"0000";"29D1";"N/A";"1.469";;;;;;;;;;;"96";"2021-07-01 15:22:23"
