"Data";"RSSI1 (Receiver info)";"RSSI2 (Receiver info)";"RSSI3 (Receiver info)";"RSSI4 (Receiver info)";"Sequence number"
"df0004";"-129.00";"-128.00";;;"111"
"df0003";"-129.00";"-127.00";;;"110"
"df0002";"-129.00";"-129.00";;;"109"
"df0001";"-129.00";"-131.00";;;"108"
"df0000";"-132.00";"-129.00";;;"107"
"df0005";"-134.00";"-126.00";;;"106"
"df0004";"-134.00";"-125.00";"-130.00";;"105"
"df0003";"-132.00";"-126.00";"-125.00";;"104"
"df0002";"-126.00";"-134.00";;;"103"
"df0001";"-133.00";"-128.00";;;"102"
"df0000";"-133.00";"-127.00";;;"101"
"df0005";"-130.00";"-125.00";;;"100"
"df0004";"-134.00";"-124.00";;;"99"
"df0003";"-130.00";"-124.00";;;"98"
"df0002";"-134.00";"-127.00";;;"97"
"df0001";"-131.00";"-126.00";;;"96"
"df0000";"-133.00";"-125.00";"-126.00";;"95"
"df0005";"-123.00";;;;"94"
"df0004";"-112.00";"-128.00";;;"93"
"df0001";"-127.00";;;;"91"
"410003";"-133.00";;;;"90"
"410000";"-131.00";"-142.00";"-127.00";"-129.00";"88"
"410002";"-131.00";"-129.00";;;"87"
"410000";"-127.00";"-126.00";"-121.00";"-122.00";"85"
"410000";"-127.00";;;;"83"
"df0022";"-116.00";;;;"82"
"df0016";"-116.00";;;;"76"
"df0014";"-116.00";;;;"74"
"df0013";"-122.00";;;;"73"
"df0012";"-116.00";;;;"72"
"df0011";"-109.00";;;;"71"
"df0010";"-119.00";"-112.00";;;"70"
"df0009";"-102.00";;;;"69"
"df0008";"-105.00";;;;"68"
"df0006";"-89.00";;;;"66"
"df0005";"-91.00";"-119.00";;;"65"
"df0004";"-95.00";"-120.00";"-128.00";;"64"
"df0003";"-89.00";"-124.00";"-131.00";;"63"
"df0002";"-93.00";;;;"62"
"df0001";"-100.00";"-122.00";;;"61"
"df0001";"-98.00";;;;"60"
"df0000";"-90.00";"-124.00";;;"59"
"df0001";"-89.00";"-117.00";"-128.00";;"58"
"270001";"-92.00";;;;"57"
"270000";"-98.00";;;;"56"
"270001";"-90.00";"-132.00";;;"55"
"270000";"-89.00";;;;"54"
"270002";"-89.00";"-123.00";;;"53"
"270001";"-87.00";"-119.00";"-130.00";;"52"
"270000";"-88.00";;;;"51"
"270001";"-87.00";"-118.00";"-131.00";;"50"
"270000";"-126.00";"-91.00";"-117.00";"-131.00";"49"
"270006";"-97.00";;;;"48"
"270005";"-96.00";;;;"47"
"270004";"-93.00";;;;"46"
"270003";"-92.00";;;;"45"
"270002";"-88.00";"-130.00";"-116.00";;"44"
"270001";"-90.00";;;;"43"
"270000";"-93.00";"-134.00";;;"42"
"df0000";"-94.00";;;;"41"
"f50001";"-88.00";"-118.00";;;"40"
"f50000";"-99.00";;;;"39"
"730000";"-92.00";"-129.00";;;"38"
"f50000";"-92.00";"-119.00";"-131.00";;"37"
"730002";"-89.00";"-129.00";;;"36"
"730001";"-95.00";"-124.00";"-135.00";"-136.00";"35"
"730000";"-97.00";;;;"34"
"730000";"-94.00";"-120.00";;;"33"
