"Data";"RSSI1 (Receiver info)";"RSSI2 (Receiver info)";"RSSI3 (Receiver info)";"RSSI4 (Receiver info)";"Sequence number"
"df0022";"-116.00";;;;"82"
"df0016";"-116.00";;;;"76"
"df0014";"-116.00";;;;"74"
"df0013";"-122.00";;;;"73"
"df0012";"-116.00";;;;"72"
"df0011";"-109.00";;;;"71"
"df0010";"-119.00";"-112.00";;;"70"
"df0009";"-102.00";;;;"69"
"df0008";"-105.00";;;;"68"
"df0006";"-89.00";;;;"66"
"df0005";"-91.00";"-119.00";;;"65"
"df0004";"-95.00";"-120.00";"-128.00";;"64"
"df0003";"-89.00";"-124.00";"-131.00";;"63"
"df0002";"-93.00";;;;"62"
"df0001";"-100.00";"-122.00";;;"61"
"df0001";"-98.00";;;;"60"
"df0000";"-90.00";"-124.00";;;"59"
