MeasurementId,Technology,Latitude,Longitude,SessionID,SequenceNumber
7,sigfox,55.782118,12.518720,DF,0000
8,sigfox,55.782074,12.518681,DF,0001
9,sigfox,55.782010,12.518598,DF,0002
10,sigfox,55.782227,12.519090,DF,0003
11,sigfox,55.782144,12.518582,DF,0004
13,sigfox,55.781922,12.518610,DF,0006
14,sigfox,55.782358,12.519352,DF,0007
15,sigfox,55.782246,12.521170,DF,0008
16,sigfox,55.782145,12.522578,DF,0009
17,sigfox,55.782977,12.523191,DF,0010
18,sigfox,55.783575,12.523850,DF,0011
19,sigfox,55.784330,12.524076,DF,0012
20,sigfox,55.785504,12.524380,DF,0013
21,sigfox,55.785587,12.523051,DF,0014
22,sigfox,55.786065,12.521859,DF,0015
23,sigfox,55.786673,12.522376,DF,0016
24,sigfox,55.787051,12.523560,DF,0017
25,sigfox,55.786910,12.525284,DF,0018
26,sigfox,55.787474,12.526370,DF,0019
27,sigfox,55.787556,12.528051,DF,0020
28,sigfox,55.787723,12.529457,DF,0021
29,sigfox,55.787656,12.531309,DF,0022
